NAME,B25059_001E,state,county,tract
"Census Tract 1706, Cook County, Illinois",1535,17,031,170600
"Census Tract 1707, Cook County, Illinois",1339,17,031,170700
"Census Tract 1708, Cook County, Illinois",1677,17,031,170800
"Census Tract 1709, Cook County, Illinois",1422,17,031,170900
"Census Tract 1710, Cook County, Illinois",988,17,031,171000
"Census Tract 1711, Cook County, Illinois",1561,17,031,171100
"Census Tract 1801, Cook County, Illinois",1565,17,031,180100
"Census Tract 1901, Cook County, Illinois",1089,17,031,190100
"Census Tract 1902, Cook County, Illinois",1337,17,031,190200
"Census Tract 1903, Cook County, Illinois",1007,17,031,190300
"Census Tract 1904.01, Cook County, Illinois",1174,17,031,190401
"Census Tract 1904.02, Cook County, Illinois",1212,17,031,190402
"Census Tract 1906.01, Cook County, Illinois",1323,17,031,190601
"Census Tract 1906.02, Cook County, Illinois",1211,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",1189,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",1165,17,031,190702
"Census Tract 1908, Cook County, Illinois",1164,17,031,190800
"Census Tract 1909, Cook County, Illinois",1144,17,031,190900
"Census Tract 1910, Cook County, Illinois",891,17,031,191000
"Census Tract 1911, Cook County, Illinois",1075,17,031,191100
"Census Tract 1912, Cook County, Illinois",1099,17,031,191200
"Census Tract 1913.01, Cook County, Illinois",1296,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",1244,17,031,191302
"Census Tract 2001, Cook County, Illinois",1118,17,031,200100
"Census Tract 2002, Cook County, Illinois",1148,17,031,200200
"Census Tract 2003, Cook County, Illinois",1387,17,031,200300
"Census Tract 2004.01, Cook County, Illinois",982,17,031,200401
"Census Tract 2004.02, Cook County, Illinois",1105,17,031,200402
"Census Tract 2101, Cook County, Illinois",1832,17,031,210100
"Census Tract 2104, Cook County, Illinois",1172,17,031,210400
"Census Tract 2105.01, Cook County, Illinois",1425,17,031,210501
"Census Tract 2105.02, Cook County, Illinois",1432,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",1452,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",1532,17,031,210602
"Census Tract 2107, Cook County, Illinois",1710,17,031,210700
"Census Tract 2108, Cook County, Illinois",1559,17,031,210800
"Census Tract 2109, Cook County, Illinois",1777,17,031,210900
"Census Tract 2203, Cook County, Illinois",2023,17,031,220300
"Census Tract 2204, Cook County, Illinois",1991,17,031,220400
"Census Tract 2205, Cook County, Illinois",1881,17,031,220500
"Census Tract 2206.01, Cook County, Illinois",1712,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",1799,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",1599,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",1423,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",1443,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",1328,17,031,220902
"Census Tract 2210, Cook County, Illinois",1716,17,031,221000
"Census Tract 2211, Cook County, Illinois",1592,17,031,221100
"Census Tract 2212, Cook County, Illinois",1984,17,031,221200
"Census Tract 2213, Cook County, Illinois",1651,17,031,221300
"Census Tract 2214, Cook County, Illinois",2069,17,031,221400
"Census Tract 2215, Cook County, Illinois",1547,17,031,221500
"Census Tract 2216, Cook County, Illinois",2168,17,031,221600
"Census Tract 2222, Cook County, Illinois",2647,17,031,222200
"Census Tract 2225, Cook County, Illinois",2119,17,031,222500
"Census Tract 2226, Cook County, Illinois",1462,17,031,222600
"Census Tract 2227, Cook County, Illinois",1543,17,031,222700
"Census Tract 2228, Cook County, Illinois",1623,17,031,222800
"Census Tract 2229, Cook County, Illinois",1484,17,031,222900
"Census Tract 2301, Cook County, Illinois",1978,17,031,230100
"Census Tract 2302, Cook County, Illinois",1385,17,031,230200
"Census Tract 2303, Cook County, Illinois",1366,17,031,230300
"Census Tract 2304, Cook County, Illinois",1069,17,031,230400
"Census Tract 2305, Cook County, Illinois",1023,17,031,230500
"Census Tract 2306, Cook County, Illinois",1150,17,031,230600
"Census Tract 2307, Cook County, Illinois",1360,17,031,230700
"Census Tract 2308, Cook County, Illinois",1382,17,031,230800
"Census Tract 2309, Cook County, Illinois",1575,17,031,230900
"Census Tract 2311, Cook County, Illinois",1211,17,031,231100
"Census Tract 2312, Cook County, Illinois",1084,17,031,231200
"Census Tract 2315, Cook County, Illinois",979,17,031,231500
"Census Tract 2402, Cook County, Illinois",2238,17,031,240200
"Census Tract 2403, Cook County, Illinois",2457,17,031,240300
"Census Tract 2405, Cook County, Illinois",2732,17,031,240500
"Census Tract 2406, Cook County, Illinois",2221,17,031,240600
"Census Tract 2407, Cook County, Illinois",1902,17,031,240700
"Census Tract 2408, Cook County, Illinois",1627,17,031,240800
"Census Tract 2409, Cook County, Illinois",1439,17,031,240900
"Census Tract 2410, Cook County, Illinois",1815,17,031,241000
"Census Tract 2411, Cook County, Illinois",1756,17,031,241100
"Census Tract 2412, Cook County, Illinois",1938,17,031,241200
"Census Tract 2413, Cook County, Illinois",2732,17,031,241300
"Census Tract 2414, Cook County, Illinois",2726,17,031,241400
"Census Tract 2415, Cook County, Illinois",2728,17,031,241500
"Census Tract 2416, Cook County, Illinois",2173,17,031,241600
"Census Tract 2420, Cook County, Illinois",2223,17,031,242000
"Census Tract 2421, Cook County, Illinois",2325,17,031,242100
"Census Tract 2422, Cook County, Illinois",2172,17,031,242200
"Census Tract 2423, Cook County, Illinois",1890,17,031,242300
"Census Tract 2424, Cook County, Illinois",1867,17,031,242400
"Census Tract 2425, Cook County, Illinois",1834,17,031,242500
"Census Tract 2426, Cook County, Illinois",1676,17,031,242600
"Census Tract 2427, Cook County, Illinois",1619,17,031,242700
"Census Tract 2428, Cook County, Illinois",1811,17,031,242800
"Census Tract 2429, Cook County, Illinois",1764,17,031,242900
"Census Tract 2430, Cook County, Illinois",2059,17,031,243000
"Census Tract 2431, Cook County, Illinois",1866,17,031,243100
"Census Tract 2432, Cook County, Illinois",2166,17,031,243200
"Census Tract 2433, Cook County, Illinois",2141,17,031,243300
"Census Tract 2434, Cook County, Illinois",1995,17,031,243400
"Census Tract 2435, Cook County, Illinois",2472,17,031,243500
"Census Tract 2502, Cook County, Illinois",948,17,031,250200
"Census Tract 2503, Cook County, Illinois",988,17,031,250300
"Census Tract 2504, Cook County, Illinois",1007,17,031,250400
"Census Tract 2505, Cook County, Illinois",1350,17,031,250500
"Census Tract 2506, Cook County, Illinois",998,17,031,250600
"Census Tract 2507, Cook County, Illinois",996,17,031,250700
"Census Tract 2508, Cook County, Illinois",1087,17,031,250800
"Census Tract 2510, Cook County, Illinois",1075,17,031,251000
"Census Tract 2511, Cook County, Illinois",1148,17,031,251100
"Census Tract 2512, Cook County, Illinois",1223,17,031,251200
"Census Tract 2513, Cook County, Illinois",1004,17,031,251300
"Census Tract 2514, Cook County, Illinois",908,17,031,251400
"Census Tract 2515, Cook County, Illinois",1108,17,031,251500
"Census Tract 2516, Cook County, Illinois",1300,17,031,251600
"Census Tract 2517, Cook County, Illinois",1092,17,031,251700
"Census Tract 2518, Cook County, Illinois",969,17,031,251800
"Census Tract 2519, Cook County, Illinois",973,17,031,251900
"Census Tract 2520, Cook County, Illinois",950,17,031,252000
"Census Tract 2521.01, Cook County, Illinois",1127,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",1253,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",1116,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",1022,17,031,252202
"Census Tract 2601, Cook County, Illinois",720,17,031,260100
"Census Tract 2602, Cook County, Illinois",1171,17,031,260200
"Census Tract 2603, Cook County, Illinois",1041,17,031,260300
"Census Tract 2604, Cook County, Illinois",1064,17,031,260400
"Census Tract 2605, Cook County, Illinois",1120,17,031,260500
"Census Tract 2606, Cook County, Illinois",1466,17,031,260600
"Census Tract 2607, Cook County, Illinois",1028,17,031,260700
"Census Tract 2608, Cook County, Illinois",1161,17,031,260800
"Census Tract 2609, Cook County, Illinois",1092,17,031,260900
"Census Tract 2610, Cook County, Illinois",949,17,031,261000
"Census Tract 2705, Cook County, Illinois",985,17,031,270500
"Census Tract 2712, Cook County, Illinois",1263,17,031,271200
"Census Tract 2713, Cook County, Illinois",892,17,031,271300
"Census Tract 2714, Cook County, Illinois",1046,17,031,271400
"Census Tract 2715, Cook County, Illinois",997,17,031,271500
"Census Tract 2718, Cook County, Illinois",1148,17,031,271800
"Census Tract 2801, Cook County, Illinois",2500,17,031,280100
"Census Tract 2804, Cook County, Illinois",1398,17,031,280400
"Census Tract 2808, Cook County, Illinois",899,17,031,280800
"Census Tract 2809, Cook County, Illinois",1163,17,031,280900
"Census Tract 2819, Cook County, Illinois",2400,17,031,281900
"Census Tract 2827, Cook County, Illinois",1878,17,031,282700
"Census Tract 2828, Cook County, Illinois",1767,17,031,282800
"Census Tract 2831, Cook County, Illinois",1809,17,031,283100
"Census Tract 2832, Cook County, Illinois",1818,17,031,283200
"Census Tract 2838, Cook County, Illinois",1242,17,031,283800
"Census Tract 2909, Cook County, Illinois",1209,17,031,290900
"Census Tract 2912, Cook County, Illinois",1210,17,031,291200
"Census Tract 2916, Cook County, Illinois",899,17,031,291600
"Census Tract 2922, Cook County, Illinois",1025,17,031,292200
"Census Tract 2924, Cook County, Illinois",1008,17,031,292400
"Census Tract 2925, Cook County, Illinois",1106,17,031,292500
"Census Tract 3005, Cook County, Illinois",881,17,031,300500
"Census Tract 3006, Cook County, Illinois",968,17,031,300600
"Census Tract 3007, Cook County, Illinois",842,17,031,300700
"Census Tract 3008, Cook County, Illinois",823,17,031,300800
"Census Tract 3009, Cook County, Illinois",736,17,031,300900
"Census Tract 3011, Cook County, Illinois",837,17,031,301100
"Census Tract 3012, Cook County, Illinois",859,17,031,301200
"Census Tract 3016, Cook County, Illinois",791,17,031,301600
"Census Tract 3017.01, Cook County, Illinois",820,17,031,301701
"Census Tract 3017.02, Cook County, Illinois",777,17,031,301702
"Census Tract 3018.01, Cook County, Illinois",867,17,031,301801
"Census Tract 3018.02, Cook County, Illinois",872,17,031,301802
"Census Tract 3018.03, Cook County, Illinois",890,17,031,301803
"Census Tract 3102, Cook County, Illinois",2031,17,031,310200
"Census Tract 3103, Cook County, Illinois",1361,17,031,310300
"Census Tract 3104, Cook County, Illinois",1677,17,031,310400
"Census Tract 3105, Cook County, Illinois",1382,17,031,310500
"Census Tract 3106, Cook County, Illinois",1513,17,031,310600
"Census Tract 3107, Cook County, Illinois",1231,17,031,310700
"Census Tract 3108, Cook County, Illinois",1060,17,031,310800
"Census Tract 3109, Cook County, Illinois",1198,17,031,310900
"Census Tract 3201.01, Cook County, Illinois",2685,17,031,320101
"Census Tract 3201.02, Cook County, Illinois",3501,17,031,320102
"Census Tract 3204, Cook County, Illinois",2875,17,031,320400
"Census Tract 3206, Cook County, Illinois",2652,17,031,320600
"Census Tract 3301.01, Cook County, Illinois",3405,17,031,330101
"Census Tract 3301.02, Cook County, Illinois",2363,17,031,330102
"Census Tract 3301.03, Cook County, Illinois",2165,17,031,330103
"Census Tract 3302, Cook County, Illinois",-666666666,17,031,330200
"Census Tract 3403, Cook County, Illinois",1136,17,031,340300
"Census Tract 3404, Cook County, Illinois",1318,17,031,340400
"Census Tract 3405, Cook County, Illinois",1006,17,031,340500
"Census Tract 3406, Cook County, Illinois",396,17,031,340600
"Census Tract 3501, Cook County, Illinois",1498,17,031,350100
"Census Tract 3504, Cook County, Illinois",839,17,031,350400
"Census Tract 3510, Cook County, Illinois",1426,17,031,351000
"Census Tract 3511, Cook County, Illinois",715,17,031,351100
"Census Tract 3514, Cook County, Illinois",1442,17,031,351400
"Census Tract 3515, Cook County, Illinois",1694,17,031,351500
"Census Tract 3602, Cook County, Illinois",996,17,031,360200
"Census Tract 3801, Cook County, Illinois",735,17,031,380100
"Census Tract 3802, Cook County, Illinois",794,17,031,380200
"Census Tract 3806, Cook County, Illinois",1101,17,031,380600
"Census Tract 3812, Cook County, Illinois",1303,17,031,381200
"Census Tract 3814, Cook County, Illinois",1277,17,031,381400
"Census Tract 3815, Cook County, Illinois",990,17,031,381500
"Census Tract 3817, Cook County, Illinois",-666666666,17,031,381700
"Census Tract 3818, Cook County, Illinois",1514,17,031,381800
"Census Tract 3819, Cook County, Illinois",975,17,031,381900
"Census Tract 3901, Cook County, Illinois",1266,17,031,390100
"Census Tract 3902, Cook County, Illinois",1485,17,031,390200
"Census Tract 3903, Cook County, Illinois",973,17,031,390300
"Census Tract 3904, Cook County, Illinois",936,17,031,390400
"Census Tract 3905, Cook County, Illinois",1428,17,031,390500
"Census Tract 3906, Cook County, Illinois",1424,17,031,390600
"Census Tract 3907, Cook County, Illinois",1861,17,031,390700
"Census Tract 4003, Cook County, Illinois",1456,17,031,400300
"Census Tract 4004, Cook County, Illinois",1238,17,031,400400
"Census Tract 4005, Cook County, Illinois",1051,17,031,400500
"Census Tract 4008, Cook County, Illinois",890,17,031,400800
"Census Tract 4101, Cook County, Illinois",1867,17,031,410100
"Census Tract 4102, Cook County, Illinois",1377,17,031,410200
"Census Tract 4105, Cook County, Illinois",1572,17,031,410500
"Census Tract 4106, Cook County, Illinois",1940,17,031,410600
"Census Tract 4107, Cook County, Illinois",1610,17,031,410700
"Census Tract 4108, Cook County, Illinois",1545,17,031,410800
"Census Tract 4109, Cook County, Illinois",1818,17,031,410900
"Census Tract 4110, Cook County, Illinois",1428,17,031,411000
"Census Tract 4111, Cook County, Illinois",2977,17,031,411100
"Census Tract 4112, Cook County, Illinois",1542,17,031,411200
"Census Tract 4201, Cook County, Illinois",943,17,031,420100
"Census Tract 4202, Cook County, Illinois",1523,17,031,420200
"Census Tract 4203, Cook County, Illinois",1424,17,031,420300
"Census Tract 4204, Cook County, Illinois",995,17,031,420400
"Census Tract 4205, Cook County, Illinois",948,17,031,420500
"Census Tract 4206, Cook County, Illinois",1089,17,031,420600
"Census Tract 4207, Cook County, Illinois",1135,17,031,420700
"Census Tract 4208, Cook County, Illinois",1377,17,031,420800
"Census Tract 4212, Cook County, Illinois",991,17,031,421200
"Census Tract 4301.01, Cook County, Illinois",1125,17,031,430101
"Census Tract 4301.02, Cook County, Illinois",1063,17,031,430102
"Census Tract 4302, Cook County, Illinois",980,17,031,430200
"Census Tract 4303, Cook County, Illinois",1153,17,031,430300
"Census Tract 4304, Cook County, Illinois",1341,17,031,430400
"Census Tract 4305, Cook County, Illinois",968,17,031,430500
"Census Tract 4306, Cook County, Illinois",962,17,031,430600
"Census Tract 4307, Cook County, Illinois",1146,17,031,430700
"Census Tract 4308, Cook County, Illinois",1111,17,031,430800
"Census Tract 4309, Cook County, Illinois",972,17,031,430900
"Census Tract 4312, Cook County, Illinois",1151,17,031,431200
"Census Tract 4313.01, Cook County, Illinois",969,17,031,431301
"Census Tract 4313.02, Cook County, Illinois",1058,17,031,431302
"Census Tract 4314, Cook County, Illinois",1015,17,031,431400
"Census Tract 4401.01, Cook County, Illinois",924,17,031,440101
"Census Tract 4401.02, Cook County, Illinois",892,17,031,440102
"Census Tract 4402.01, Cook County, Illinois",1081,17,031,440201
"Census Tract 4402.02, Cook County, Illinois",818,17,031,440202
