NAME,S1903_C03_001E,state,county,tract
Census Tract 2413; Cook County; Illinois,167292,17,031,241300
Census Tract 2414; Cook County; Illinois,178434,17,031,241400
Census Tract 2415; Cook County; Illinois,173393,17,031,241500
Census Tract 2416; Cook County; Illinois,111458,17,031,241600
Census Tract 2420; Cook County; Illinois,145583,17,031,242000
Census Tract 2421; Cook County; Illinois,179015,17,031,242100
Census Tract 2422; Cook County; Illinois,164025,17,031,242200
Census Tract 2423; Cook County; Illinois,104397,17,031,242300
Census Tract 2424; Cook County; Illinois,103095,17,031,242400
Census Tract 2425; Cook County; Illinois,81875,17,031,242500
Census Tract 2426; Cook County; Illinois,79583,17,031,242600
Census Tract 2427; Cook County; Illinois,61964,17,031,242700
Census Tract 2428; Cook County; Illinois,139500,17,031,242800
Census Tract 2429; Cook County; Illinois,143750,17,031,242900
Census Tract 2430; Cook County; Illinois,113125,17,031,243000
Census Tract 2431; Cook County; Illinois,114464,17,031,243100
Census Tract 2432; Cook County; Illinois,136094,17,031,243200
Census Tract 2433; Cook County; Illinois,128375,17,031,243300
Census Tract 2434; Cook County; Illinois,124773,17,031,243400
Census Tract 2435; Cook County; Illinois,160370,17,031,243500
Census Tract 2502; Cook County; Illinois,49327,17,031,250200
Census Tract 2503; Cook County; Illinois,47550,17,031,250300
Census Tract 2504; Cook County; Illinois,46709,17,031,250400
Census Tract 2505; Cook County; Illinois,119514,17,031,250500
Census Tract 2506; Cook County; Illinois,65486,17,031,250600
Census Tract 2507; Cook County; Illinois,44624,17,031,250700
Census Tract 2508; Cook County; Illinois,63047,17,031,250800
Census Tract 2510; Cook County; Illinois,31690,17,031,251000
Census Tract 2511; Cook County; Illinois,38350,17,031,251100
Census Tract 2512; Cook County; Illinois,46483,17,031,251200
Census Tract 2513; Cook County; Illinois,38920,17,031,251300
Census Tract 2514; Cook County; Illinois,22029,17,031,251400
Census Tract 2515; Cook County; Illinois,40077,17,031,251500
Census Tract 2516; Cook County; Illinois,35417,17,031,251600
Census Tract 2517; Cook County; Illinois,52763,17,031,251700
