census_tract_id,indicator_name,value,year
800100,agg_rent,0,2021
800200,agg_rent,291800,2021
800300,agg_rent,110600,2021
800400,agg_rent,290100,2021
800500,agg_rent,292100,2021
800600,agg_rent,57200,2021
800700,agg_rent,272800,2021
800800,agg_rent,297200,2021
800900,agg_rent,280400,2021
801000,agg_rent,608600,2021
801100,agg_rent,222100,2021
801200,agg_rent,97000,2021
801300,agg_rent,407300,2021
801400,agg_rent,85300,2021
801500,agg_rent,726500,2021
801601,agg_rent,787000,2021
801603,agg_rent,1376200,2021
801605,agg_rent,0,2021
801606,agg_rent,661800,2021
801607,agg_rent,599700,2021
801608,agg_rent,1379600,2021
801701,agg_rent,62000,2021
801702,agg_rent,480500,2021
801800,agg_rent,391600,2021
801901,agg_rent,604900,2021
801902,agg_rent,140400,2021
802002,agg_rent,146100,2021
802003,agg_rent,111600,2021
802004,agg_rent,1085100,2021
802100,agg_rent,325400,2021
802200,agg_rent,506500,2021
802300,agg_rent,2397500,2021
802402,agg_rent,1077900,2021
802403,agg_rent,177100,2021
802404,agg_rent,1545200,2021
802503,agg_rent,890000,2021
802504,agg_rent,294200,2021
802505,agg_rent,1876400,2021
802506,agg_rent,316800,2021
802605,agg_rent,1081300,2021
802607,agg_rent,33800,2021
802608,agg_rent,623400,2021
802609,agg_rent,1679600,2021
802610,agg_rent,60400,2021
802701,agg_rent,261600,2021
802702,agg_rent,262600,2021
802801,agg_rent,263000,2021
802802,agg_rent,709200,2021
802900,agg_rent,211000,2021
803005,agg_rent,335000,2021
803007,agg_rent,663300,2021
803008,agg_rent,196900,2021
803010,agg_rent,110300,2021
803012,agg_rent,560400,2021
803013,agg_rent,319200,2021
803014,agg_rent,541900,2021
803015,agg_rent,414500,2021
803016,agg_rent,736900,2021
803017,agg_rent,1623400,2021
803100,agg_rent,105700,2021
803200,agg_rent,685900,2021
803300,agg_rent,1607000,2021
803400,agg_rent,665600,2021
803500,agg_rent,734000,2021
803603,agg_rent,259300,2021
803604,agg_rent,675000,2021
803605,agg_rent,673100,2021
803607,agg_rent,380200,2021
803608,agg_rent,2573100,2021
803611,agg_rent,770600,2021
803612,agg_rent,1285100,2021
803613,agg_rent,542600,2021
803614,agg_rent,1265000,2021
803615,agg_rent,533000,2021
803616,agg_rent,818800,2021
803701,agg_rent,696500,2021
803702,agg_rent,1171900,2021
803800,agg_rent,424500,2021
803901,agg_rent,726100,2021
803902,agg_rent,210100,2021
804000,agg_rent,271600,2021
804102,agg_rent,94400,2021
804104,agg_rent,546400,2021
804105,agg_rent,0,2021
804106,agg_rent,575000,2021
804108,agg_rent,2788900,2021
804109,agg_rent,146100,2021
804202,agg_rent,516500,2021
804203,agg_rent,-666666666,2021
804204,agg_rent,439400,2021
804305,agg_rent,649100,2021
804306,agg_rent,304100,2021
804308,agg_rent,779700,2021
804309,agg_rent,245900,2021
804312,agg_rent,0,2021
804313,agg_rent,993500,2021
804314,agg_rent,226900,2021
804315,agg_rent,205000,2021
804316,agg_rent,111800,2021
804403,agg_rent,814400,2021
804404,agg_rent,323000,2021
804405,agg_rent,575000,2021
804406,agg_rent,289900,2021
804505,agg_rent,748600,2021
804506,agg_rent,788400,2021
804508,agg_rent,528100,2021
804509,agg_rent,469100,2021
804510,agg_rent,489100,2021
804511,agg_rent,442200,2021
804512,agg_rent,0,2021
804513,agg_rent,450800,2021
804514,agg_rent,573500,2021
804603,agg_rent,2727000,2021
804606,agg_rent,136900,2021
804607,agg_rent,696800,2021
804608,agg_rent,633500,2021
804609,agg_rent,1259300,2021
804610,agg_rent,482800,2021
804611,agg_rent,555100,2021
804701,agg_rent,1625400,2021
804705,agg_rent,732100,2021
804706,agg_rent,58300,2021
804709,agg_rent,2162300,2021
804710,agg_rent,368800,2021
804711,agg_rent,1881900,2021
804712,agg_rent,1047000,2021
804713,agg_rent,2077800,2021
804714,agg_rent,299900,2021
804715,agg_rent,580100,2021
804716,agg_rent,374000,2021
804803,agg_rent,998200,2021
804804,agg_rent,1059000,2021
804805,agg_rent,560300,2021
804806,agg_rent,307300,2021
804807,agg_rent,437300,2021
804808,agg_rent,0,2021
804809,agg_rent,217000,2021
804810,agg_rent,1029200,2021
804901,agg_rent,308400,2021
804902,agg_rent,327200,2021
805001,agg_rent,164900,2021
805002,agg_rent,1748800,2021
805105,agg_rent,1916400,2021
805106,agg_rent,232600,2021
805107,agg_rent,2858700,2021
805108,agg_rent,1983800,2021
805109,agg_rent,186800,2021
805110,agg_rent,1204100,2021
805111,agg_rent,2105000,2021
805112,agg_rent,313200,2021
805201,agg_rent,272400,2021
805202,agg_rent,843600,2021
805301,agg_rent,167400,2021
805302,agg_rent,134400,2021
805401,agg_rent,319000,2021
805402,agg_rent,131300,2021
805501,agg_rent,657400,2021
805502,agg_rent,445100,2021
805600,agg_rent,0,2021
805701,agg_rent,373400,2021
805702,agg_rent,59000,2021
805801,agg_rent,75300,2021
805802,agg_rent,296800,2021
805901,agg_rent,612000,2021
805902,agg_rent,457400,2021
806001,agg_rent,1447500,2021
806002,agg_rent,902500,2021
806004,agg_rent,1583500,2021
806005,agg_rent,621600,2021
806006,agg_rent,513100,2021
806102,agg_rent,400000,2021
806103,agg_rent,226500,2021
806104,agg_rent,1182400,2021
806201,agg_rent,621300,2021
806202,agg_rent,867300,2021
806300,agg_rent,250000,2021
806400,agg_rent,190600,2021
806501,agg_rent,228500,2021
806502,agg_rent,118200,2021
806600,agg_rent,70900,2021
806700,agg_rent,0,2021
806801,agg_rent,687200,2021
806802,agg_rent,411100,2021
806900,agg_rent,963400,2021
807000,agg_rent,1124100,2021
807100,agg_rent,403200,2021
807200,agg_rent,405800,2021
807300,agg_rent,1489600,2021
807400,agg_rent,1000900,2021
807500,agg_rent,320900,2021
807600,agg_rent,312800,2021
807700,agg_rent,626500,2021
807800,agg_rent,87300,2021
807900,agg_rent,165000,2021
808001,agg_rent,265400,2021
808002,agg_rent,1875200,2021
808100,agg_rent,365700,2021
808200,agg_rent,380800,2021
808301,agg_rent,912400,2021
808302,agg_rent,579700,2021
808400,agg_rent,210600,2021
808500,agg_rent,141800,2021
808600,agg_rent,431300,2021
808702,agg_rent,200700,2021
808800,agg_rent,695900,2021
808900,agg_rent,196900,2021
809000,agg_rent,1010200,2021
809100,agg_rent,809400,2021
809200,agg_rent,739800,2021
809300,agg_rent,1696500,2021
809401,agg_rent,1176700,2021
809402,agg_rent,2120800,2021
809500,agg_rent,2329100,2021
809600,agg_rent,243400,2021
809700,agg_rent,740400,2021
809800,agg_rent,660000,2021
809900,agg_rent,687100,2021
810000,agg_rent,1867300,2021
810100,agg_rent,1345200,2021
