NAME,B25060_001E,state,county,tract
"Census Tract 8272, Cook County, Illinois",239200,17,031,827200
"Census Tract 8273, Cook County, Illinois",266400,17,031,827300
"Census Tract 8274, Cook County, Illinois",517800,17,031,827400
"Census Tract 8275, Cook County, Illinois",540200,17,031,827500
"Census Tract 8276, Cook County, Illinois",389700,17,031,827600
"Census Tract 8277, Cook County, Illinois",426000,17,031,827700
"Census Tract 8278.01, Cook County, Illinois",447800,17,031,827801
"Census Tract 8278.02, Cook County, Illinois",102500,17,031,827802
"Census Tract 8278.04, Cook County, Illinois",176200,17,031,827804
"Census Tract 8278.05, Cook County, Illinois",,17,031,827805
"Census Tract 8279.01, Cook County, Illinois",43100,17,031,827901
"Census Tract 8279.02, Cook County, Illinois",638000,17,031,827902
"Census Tract 8280, Cook County, Illinois",609100,17,031,828000
"Census Tract 8281, Cook County, Illinois",518300,17,031,828100
"Census Tract 8282.01, Cook County, Illinois",476800,17,031,828201
"Census Tract 8282.02, Cook County, Illinois",501300,17,031,828202
"Census Tract 8283, Cook County, Illinois",216000,17,031,828300
"Census Tract 8284.01, Cook County, Illinois",460200,17,031,828401
"Census Tract 8284.02, Cook County, Illinois",562000,17,031,828402
"Census Tract 8285.03, Cook County, Illinois",555900,17,031,828503
"Census Tract 8285.04, Cook County, Illinois",902000,17,031,828504
"Census Tract 8285.05, Cook County, Illinois",629100,17,031,828505
"Census Tract 8285.07, Cook County, Illinois",153200,17,031,828507
"Census Tract 8285.08, Cook County, Illinois",440300,17,031,828508
"Census Tract 8286.01, Cook County, Illinois",175300,17,031,828601
"Census Tract 8286.02, Cook County, Illinois",212000,17,031,828602
"Census Tract 8287.01, Cook County, Illinois",156600,17,031,828701
"Census Tract 8287.02, Cook County, Illinois",397700,17,031,828702
"Census Tract 8288.01, Cook County, Illinois",341700,17,031,828801
"Census Tract 8288.02, Cook County, Illinois",77400,17,031,828802
"Census Tract 8289, Cook County, Illinois",555500,17,031,828900
"Census Tract 8290, Cook County, Illinois",128900,17,031,829000
"Census Tract 8291, Cook County, Illinois",439800,17,031,829100
"Census Tract 8292, Cook County, Illinois",630800,17,031,829200
"Census Tract 4314, Cook County, Illinois",2173600,17,031,431400
"Census Tract 4401.01, Cook County, Illinois",1597500,17,031,440101
"Census Tract 4401.02, Cook County, Illinois",956400,17,031,440102
"Census Tract 4402.01, Cook County, Illinois",1404900,17,031,440201
"Census Tract 4402.02, Cook County, Illinois",678300,17,031,440202
"Census Tract 4403, Cook County, Illinois",384500,17,031,440300
"Census Tract 4406, Cook County, Illinois",108200,17,031,440600
"Census Tract 4407, Cook County, Illinois",118200,17,031,440700
"Census Tract 4408, Cook County, Illinois",412200,17,031,440800
"Census Tract 4409, Cook County, Illinois",317200,17,031,440900
"Census Tract 4503, Cook County, Illinois",593300,17,031,450300
"Census Tract 4601, Cook County, Illinois",478700,17,031,460100
"Census Tract 4602, Cook County, Illinois",274800,17,031,460200
"Census Tract 4603.01, Cook County, Illinois",435300,17,031,460301
"Census Tract 4603.02, Cook County, Illinois",450500,17,031,460302
"Census Tract 4604, Cook County, Illinois",584000,17,031,460400
"Census Tract 4605, Cook County, Illinois",832100,17,031,460500
"Census Tract 4608, Cook County, Illinois",537000,17,031,460800
"Census Tract 4610, Cook County, Illinois",279700,17,031,461000
"Census Tract 4701, Cook County, Illinois",217300,17,031,470100
"Census Tract 4801, Cook County, Illinois",241300,17,031,480100
"Census Tract 4802, Cook County, Illinois",168800,17,031,480200
"Census Tract 4803, Cook County, Illinois",252700,17,031,480300
"Census Tract 4804, Cook County, Illinois",271400,17,031,480400
"Census Tract 4805, Cook County, Illinois",297900,17,031,480500
"Census Tract 4902, Cook County, Illinois",508500,17,031,490200
"Census Tract 4905, Cook County, Illinois",203800,17,031,490500
"Census Tract 4906, Cook County, Illinois",202800,17,031,490600
"Census Tract 4907, Cook County, Illinois",228200,17,031,490700
"Census Tract 4908, Cook County, Illinois",322400,17,031,490800
"Census Tract 4909.01, Cook County, Illinois",673400,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",671500,17,031,490902
"Census Tract 4910, Cook County, Illinois",449700,17,031,491000
"Census Tract 4911, Cook County, Illinois",191100,17,031,491100
"Census Tract 4912, Cook County, Illinois",164200,17,031,491200
"Census Tract 4913, Cook County, Illinois",364400,17,031,491300
"Census Tract 4914, Cook County, Illinois",715300,17,031,491400
"Census Tract 5001, Cook County, Illinois",597700,17,031,500100
"Census Tract 5002, Cook County, Illinois",331000,17,031,500200
"Census Tract 5003, Cook County, Illinois",318900,17,031,500300
"Census Tract 5101, Cook County, Illinois",394000,17,031,510100
"Census Tract 5102, Cook County, Illinois",276500,17,031,510200
"Census Tract 5103, Cook County, Illinois",877700,17,031,510300
"Census Tract 5201, Cook County, Illinois",139600,17,031,520100
"Census Tract 5202, Cook County, Illinois",294900,17,031,520200
"Census Tract 5203, Cook County, Illinois",364500,17,031,520300
"Census Tract 5204, Cook County, Illinois",251100,17,031,520400
"Census Tract 8293.01, Cook County, Illinois",157300,17,031,829301
"Census Tract 8293.02, Cook County, Illinois",624400,17,031,829302
"Census Tract 8294.01, Cook County, Illinois",50000,17,031,829401
"Census Tract 8294.02, Cook County, Illinois",346200,17,031,829402
"Census Tract 8295, Cook County, Illinois",426700,17,031,829500
"Census Tract 8296, Cook County, Illinois",164900,17,031,829600
"Census Tract 8297, Cook County, Illinois",258900,17,031,829700
"Census Tract 8298, Cook County, Illinois",264900,17,031,829800
"Census Tract 8299.02, Cook County, Illinois",295100,17,031,829902
"Census Tract 8299.03, Cook County, Illinois",217100,17,031,829903
"Census Tract 8299.04, Cook County, Illinois",100400,17,031,829904
"Census Tract 8300.01, Cook County, Illinois",101500,17,031,830001
"Census Tract 8300.03, Cook County, Illinois",725400,17,031,830003
"Census Tract 8300.04, Cook County, Illinois",686000,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",782700,17,031,830005
"Census Tract 8300.06, Cook County, Illinois",320700,17,031,830006
"Census Tract 8300.07, Cook County, Illinois",884700,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",193100,17,031,830008
"Census Tract 8301, Cook County, Illinois",316000,17,031,830100
"Census Tract 8302.01, Cook County, Illinois",1219100,17,031,830201
"Census Tract 8302.02, Cook County, Illinois",340700,17,031,830202
"Census Tract 8303, Cook County, Illinois",1121600,17,031,830300
"Census Tract 8304, Cook County, Illinois",571100,17,031,830400
